month,te,te_se
12,-0.2031250,0.04052478
15,-0.2604167,0.04118910
18,-0.2604167,0.04583949
21,-0.2578125,0.05181855
24,-0.2708333,0.05846197
27,-0.2864583,0.06776272
30,-0.2395833,0.07507048
