month,te,te_se
12,-0.1807692,0.02943539
15,-0.1865385,0.02943539
18,-0.1442308,0.03041656
21,-0.1538462,0.03237893
24,-0.1461538,0.03434129
27,-0.1269231,0.03581305
30,-0.1250000,0.03826601
