month,te,te_se
12,0.1436,-0.006836860
15,0.1352,-0.006836860
18,0.1420,-0.006734818
21,0.1404,-0.007142988
24,0.1368,-0.007755245
27,0.1488,-0.008265458
30,0.1516,-0.008775671
