"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
12.04986,"x",NA,125,-0.521519,"y",NA,528,"orangeGrp"
15.04155,"x",NA,185,-0.5670886,"y",NA,537,"orangeGrp"
18.03324,"x",NA,245,-0.521519,"y",NA,528,"orangeGrp"
20.97507,"x",NA,304,-0.5316456,"y",NA,530,"orangeGrp"
24.01662,"x",NA,365,-0.5772152,"y",NA,539,"orangeGrp"
27.00831,"x",NA,425,-0.4253165,"y",NA,509,"orangeGrp"
30,"x",NA,485,-0.435443,"y",NA,511,"orangeGrp"
12.04986,"x",NA,125,-0.3443038,"y",NA,493,"cherryGrp"
14.99169,"x",NA,184,-0.3898734,"y",NA,502,"cherryGrp"
17.98338,"x",NA,244,-0.3341772,"y",NA,491,"cherryGrp"
21.02493,"x",NA,305,-0.3341772,"y",NA,491,"cherryGrp"
24.01662,"x",NA,365,-0.364557,"y",NA,497,"cherryGrp"
27.05817,"x",NA,426,-0.1974684,"y",NA,464,"cherryGrp"
30,"x",NA,485,-0.1873418,"y",NA,462,"cherryGrp"
12.04986,"x",NA,125,-0.6936709,"y",NA,562,"kiwiGrp"
14.94183,"x",NA,183,-0.7392405,"y",NA,571,"kiwiGrp"
17.98338,"x",NA,244,-0.6987342,"y",NA,563,"kiwiGrp"
20.97507,"x",NA,304,-0.7291139,"y",NA,569,"kiwiGrp"
23.9169,"x",NA,363,-0.7898734,"y",NA,581,"kiwiGrp"
27.00831,"x",NA,425,-0.6582278,"y",NA,555,"kiwiGrp"
29.95014,"x",NA,484,-0.678481,"y",NA,559,"kiwiGrp"
