"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
12,"x",NA,126,-0.203125,"y",NA,473,"orangeGrp"
14.94278,"x",NA,186,-0.2604167,"y",NA,495,"orangeGrp"
17.98365,"x",NA,248,-0.2604167,"y",NA,495,"orangeGrp"
21.02452,"x",NA,310,-0.2578125,"y",NA,494,"orangeGrp"
24.01635,"x",NA,371,-0.2708333,"y",NA,499,"orangeGrp"
27.00817,"x",NA,432,-0.2864583,"y",NA,505,"orangeGrp"
29.95095,"x",NA,492,-0.2395833,"y",NA,487,"orangeGrp"
12,"x",NA,126,-0.1223958,"y",NA,442,"cherryGrp"
14.84469,"x",NA,184,-0.1796875,"y",NA,464,"cherryGrp"
18.08174,"x",NA,250,-0.171875,"y",NA,461,"cherryGrp"
20.92643,"x",NA,308,-0.15625,"y",NA,455,"cherryGrp"
24.0654,"x",NA,372,-0.15625,"y",NA,455,"cherryGrp"
26.95913,"x",NA,431,-0.1536458,"y",NA,454,"cherryGrp"
29.90191,"x",NA,491,-0.09114583,"y",NA,430,"cherryGrp"
12,"x",NA,126,-0.28125,"y",NA,503,"kiwiGrp"
14.89373,"x",NA,185,-0.3411458,"y",NA,526,"kiwiGrp"
18.0327,"x",NA,249,-0.3515625,"y",NA,530,"kiwiGrp"
21.02452,"x",NA,310,-0.359375,"y",NA,533,"kiwiGrp"
24.01635,"x",NA,371,-0.3854167,"y",NA,543,"kiwiGrp"
26.95913,"x",NA,431,-0.4192708,"y",NA,556,"kiwiGrp"
29.95095,"x",NA,492,-0.3854167,"y",NA,543,"kiwiGrp"
