"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
843.8302,"x",NA,843.830188679245,0.004225163,"y",NA,435.905660377359,"autobar"
858.4828,"x",NA,858.48275862069,0.004165986,"y",NA,435.977011494253,"autobar"
300,"x",NA,300,0.03483412,"y",NA,399,"orangeGrp"
340,"x",NA,340,0.02985782,"y",NA,405,"cherryGrp"
658,"x",NA,658,0.1808057,"y",NA,223,"kiwiGrp"
698,"x",NA,698,0.1468009,"y",NA,264,"grapeGrp"
836,"x",NA,836,0.007464455,"y",NA,432,"berryGrp"
876,"x",NA,876,0.01078199,"y",NA,428,"plumGrp"
