"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
26.0686,"x",NA,663,46.19718,"y",NA,242,"orangeGrp"
103.7256,"x",NA,946,51.26761,"y",NA,224,"orangeGrp"
77.9314,"x",NA,852,51.83099,"y",NA,222,"orangeGrp"
52.1372,"x",NA,758,47.60563,"y",NA,237,"orangeGrp"
26.34301,"x",NA,664,34.08451,"y",NA,285,"cherryGrp"
52.41161,"x",NA,759,38.87324,"y",NA,268,"cherryGrp"
77.65699,"x",NA,851,40.56338,"y",NA,262,"cherryGrp"
103.7256,"x",NA,946,39.71831,"y",NA,265,"cherryGrp"
