"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
30,"x",NA,121,0.2075848,"y",NA,416,"orangeGrp"
59.94932,"x",NA,318,0.3283433,"y",NA,295,"orangeGrp"
90.05068,"x",NA,516,0.4031936,"y",NA,220,"orangeGrp"
120,"x",NA,713,0.4500998,"y",NA,173,"orangeGrp"
30,"x",NA,121,0.1516966,"y",NA,472,"cherryGrp"
60.10135,"x",NA,319,0.2684631,"y",NA,355,"cherryGrp"
90.05068,"x",NA,516,0.3542914,"y",NA,269,"cherryGrp"
120,"x",NA,713,0.4061876,"y",NA,217,"cherryGrp"
