"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
-0.06542056,"x",NA,107,-0.01811024,"y",NA,280,"orangeGrp"
3.140187,"x",NA,156,-0.1267717,"y",NA,349,"orangeGrp"
6.149533,"x",NA,202,-0.1456693,"y",NA,361,"orangeGrp"
9.35514,"x",NA,251,-0.08740157,"y",NA,324,"orangeGrp"
12.49533,"x",NA,299,-0.04015748,"y",NA,294,"orangeGrp"
15.63551,"x",NA,347,-0.02598425,"y",NA,285,"orangeGrp"
18.7757,"x",NA,395,-0.02125984,"y",NA,282,"orangeGrp"
21.91589,"x",NA,443,-0.005511811,"y",NA,272,"orangeGrp"
24.92523,"x",NA,489,-0.008661417,"y",NA,274,"orangeGrp"
28,"x",NA,536,-0.01653543,"y",NA,279,"orangeGrp"
31.20561,"x",NA,585,0.007086614,"y",NA,264,"orangeGrp"
34.21495,"x",NA,631,0.003937008,"y",NA,266,"orangeGrp"
37.28972,"x",NA,678,0.02755906,"y",NA,251,"orangeGrp"
40.42991,"x",NA,726,-0.002362205,"y",NA,270,"orangeGrp"
43.50467,"x",NA,773,0.002362205,"y",NA,267,"orangeGrp"
46.57944,"x",NA,820,-0.01181102,"y",NA,276,"orangeGrp"
49.78505,"x",NA,869,0.01968504,"y",NA,256,"orangeGrp"
52.85981,"x",NA,916,0.01338583,"y",NA,260,"orangeGrp"
56,"x",NA,964,0.002362205,"y",NA,267,"orangeGrp"
0,"x",NA,108,-0.005511811,"y",NA,272,"cherryGrp"
3.140187,"x",NA,156,-0.1062992,"y",NA,336,"cherryGrp"
6.149533,"x",NA,202,-0.1220472,"y",NA,346,"cherryGrp"
9.28972,"x",NA,250,-0.06692913,"y",NA,311,"cherryGrp"
12.49533,"x",NA,299,-0.01496063,"y",NA,278,"cherryGrp"
15.50467,"x",NA,345,0.003937008,"y",NA,266,"cherryGrp"
18.64486,"x",NA,393,0.008661417,"y",NA,263,"cherryGrp"
21.71963,"x",NA,440,0.02755906,"y",NA,251,"cherryGrp"
24.92523,"x",NA,489,0.02125984,"y",NA,255,"cherryGrp"
27.93458,"x",NA,535,0.01653543,"y",NA,258,"cherryGrp"
31.07477,"x",NA,583,0.04015748,"y",NA,243,"cherryGrp"
34.08411,"x",NA,629,0.04330709,"y",NA,241,"cherryGrp"
37.2243,"x",NA,677,0.06220472,"y",NA,229,"cherryGrp"
40.42991,"x",NA,726,0.02440945,"y",NA,253,"cherryGrp"
43.57009,"x",NA,774,0.03385827,"y",NA,247,"cherryGrp"
46.71028,"x",NA,822,0.01653543,"y",NA,258,"cherryGrp"
49.78505,"x",NA,869,0.0496063,"y",NA,237,"cherryGrp"
52.85981,"x",NA,916,0.04488189,"y",NA,240,"cherryGrp"
56,"x",NA,964,0.03543307,"y",NA,246,"cherryGrp"
-0.06542056,"x",NA,107,-0.03228346,"y",NA,289,"kiwiGrp"
3.140187,"x",NA,156,-0.1456693,"y",NA,361,"kiwiGrp"
6.149533,"x",NA,202,-0.1692913,"y",NA,376,"kiwiGrp"
9.35514,"x",NA,251,-0.1062992,"y",NA,336,"kiwiGrp"
12.49533,"x",NA,299,-0.07007874,"y",NA,313,"kiwiGrp"
15.57009,"x",NA,346,-0.0480315,"y",NA,299,"kiwiGrp"
18.7757,"x",NA,395,-0.04645669,"y",NA,298,"kiwiGrp"
21.78505,"x",NA,441,-0.03543307,"y",NA,291,"kiwiGrp"
24.92523,"x",NA,489,-0.03700787,"y",NA,292,"kiwiGrp"
28,"x",NA,536,-0.0480315,"y",NA,299,"kiwiGrp"
31.14019,"x",NA,584,-0.02125984,"y",NA,282,"kiwiGrp"
34.21495,"x",NA,631,-0.03543307,"y",NA,291,"kiwiGrp"
37.28972,"x",NA,678,-0.005511811,"y",NA,272,"kiwiGrp"
40.42991,"x",NA,726,-0.02598425,"y",NA,285,"kiwiGrp"
43.57009,"x",NA,774,-0.02913386,"y",NA,287,"kiwiGrp"
46.57944,"x",NA,820,-0.04015748,"y",NA,294,"kiwiGrp"
49.78505,"x",NA,869,-0.01181102,"y",NA,276,"kiwiGrp"
52.85981,"x",NA,916,-0.01653543,"y",NA,279,"kiwiGrp"
56.06542,"x",NA,965,-0.03070866,"y",NA,288,"kiwiGrp"
